strategy,seed,method,n_reps,build_time_s,n_queries_real,real_recall@1,pseudo_recall@1,real_recall@5,pseudo_recall@5,real_recall@10,pseudo_recall@10,real_recall@20,pseudo_recall@20,e2e_hit10@nprobe1,e2e_hit10@nprobe5,e2e_hit10@nprobe10
domain,42,Mean,201,0.0810539722442627,3677,0.07543572984749455,0.0205,0.20833333333333334,0.0735,0.31209150326797386,0.141,0.48937908496732024,0.2355,0.05758637956935403,0.16925388082123186,0.24687030545818728
domain,42,HMRC-3,603,2.5961499214172363,3677,0.07162309368191722,0.0305,0.21350762527233116,0.1035,0.3374183006535948,0.1795,0.5250544662309368,0.3145,0.05661322645290581,0.16482965931863727,0.27004008016032066
domain,42,HMRC-4,804,3.144026041030884,3677,0.0718954248366013,0.0285,0.22303921568627452,0.108,0.35348583877995643,0.1905,0.5514705882352942,0.3155,0.05508262393590386,0.18778167250876315,0.28642964446670005
domain,42,kRt-b2d2,804,4.335422039031982,3677,0.07516339869281045,0.034,0.2175925925925926,0.1075,0.3502178649237473,0.196,0.5517429193899782,0.319,0.061091637456184275,0.1727591387080621,0.2799198798197296
domain,43,Mean,201,0.07251977920532227,3677,0.08033769063180828,0.024,0.20724400871459694,0.085,0.3164488017429194,0.1365,0.49618736383442263,0.239,0.05257886830245368,0.15222834251377065,0.23785678517776665
domain,43,HMRC-3,603,2.709700107574463,3677,0.07407407407407407,0.031,0.2173202614379085,0.1175,0.34395424836601307,0.209,0.5392156862745098,0.334,0.06259389083625438,0.17876815222834253,0.27341011517275915
domain,43,HMRC-4,804,3.125797986984253,3677,0.0721677559912854,0.0385,0.22194989106753812,0.129,0.34667755991285404,0.2145,0.5495642701525054,0.34,0.05958938407611417,0.17826740110165248,0.271407110665999
domain,43,kRt-b2d2,804,4.367763996124268,3677,0.08006535947712418,0.039,0.23638344226579522,0.1345,0.35566448801742917,0.2125,0.5471132897603486,0.3345,0.0671006509764647,0.1897846770155233,0.2884326489734602
domain,44,Mean,201,0.07751083374023438,3677,0.0789760348583878,0.017,0.21377995642701525,0.082,0.32380174291938996,0.1375,0.5201525054466231,0.2445,0.05811623246492986,0.156813627254509,0.23897795591182364
domain,44,HMRC-3,603,4.10793399810791,3677,0.07761437908496732,0.0245,0.20860566448801743,0.107,0.3393246187363834,0.171,0.5275054466230937,0.2945,0.05958938407611417,0.16675012518778168,0.2679018527791687
domain,44,HMRC-4,804,3.271700859069824,3677,0.08088235294117647,0.0345,0.230119825708061,0.119,0.3660130718954248,0.2025,0.5708061002178649,0.3295,0.06159238858287431,0.18928392588883325,0.2939409113670506
domain,44,kRt-b2d2,804,4.553944110870361,3677,0.08088235294117647,0.0435,0.21650326797385622,0.1295,0.3548474945533769,0.196,0.5574618736383442,0.319,0.06353176588294147,0.17158579289644824,0.2766383191595798
