strategy,seed,method,n_reps,build_time_s,n_queries_real,real_recall@1,pseudo_recall@1,real_recall@5,pseudo_recall@5,real_recall@10,pseudo_recall@10,real_recall@20,pseudo_recall@20,e2e_hit10@nprobe1,e2e_hit10@nprobe5,e2e_hit10@nprobe10
timebatch,42,kRt-b2d2,804,2.507279872894287,3677,0.17293028322440088,0.1,0.4444444444444444,0.251,0.6048474945533769,0.3545,0.7293028322440087,0.493,0.15923885828743115,0.3675513269904857,0.46920380570856285
timebatch,43,Mean,201,0.04218006134033203,3677,0.10103485838779956,0.069,0.40441176470588236,0.2,0.5915032679738562,0.312,0.7254901960784313,0.4425,0.09013520280420631,0.3154732098147221,0.4416624937406109
timebatch,43,HMRC-3,603,1.208493947982788,3677,0.1702069716775599,0.0955,0.45479302832244006,0.2375,0.6056644880174292,0.335,0.7314814814814815,0.451,0.14672008012018026,0.37356034051076614,0.4646970455683525
timebatch,43,HMRC-4,804,1.3193960189819336,3677,0.18627450980392157,0.095,0.47194989106753815,0.243,0.6217320261437909,0.348,0.7494553376906318,0.479,0.16024036054081123,0.3675513269904857,0.46870305458187284
timebatch,43,kRt-b2d2,804,2.4433159828186035,3677,0.17647058823529413,0.093,0.4599673202614379,0.2515,0.6064814814814815,0.357,0.7333877995642701,0.5,0.1557336004006009,0.3530295443164747,0.4496745117676515
timebatch,44,Mean,201,0.0762031078338623,3677,0.10103485838779956,0.071,0.40441176470588236,0.21,0.5915032679738562,0.3155,0.7254901960784313,0.4485,0.08867735470941884,0.31012024048096193,0.43987975951903807
timebatch,44,HMRC-3,603,1.2470688819885254,3677,0.1702069716775599,0.097,0.45479302832244006,0.2315,0.6056644880174292,0.3305,0.7314814814814815,0.459,0.1597396094141212,0.37205808713069605,0.4636955433149725
timebatch,44,HMRC-4,804,1.4177672863006592,3677,0.18627450980392157,0.1055,0.47194989106753815,0.2575,0.6217320261437909,0.3645,0.7494553376906318,0.506,0.1642463695543315,0.37356034051076614,0.47220831246870304
timebatch,44,kRt-b2d2,804,2.721360921859741,3677,0.1650326797385621,0.098,0.45125272331154687,0.258,0.6029411764705882,0.3685,0.7325708061002179,0.5055,0.14357178589294647,0.3536768384192096,0.4412206103051526
domain,42,Mean,201,0.04822206497192383,3677,0.07298474945533769,0.018,0.20179738562091504,0.0745,0.31236383442265797,0.135,0.47875816993464054,0.2415,0.053079619429143715,0.16224336504757136,0.23435152729093642
domain,42,HMRC-3,603,1.7306301593780518,3677,0.06100217864923747,0.0265,0.19389978213507625,0.112,0.3142701525054466,0.1805,0.4891067538126362,0.2955,0.057615230460921846,0.15781563126252504,0.24298597194388777
domain,42,HMRC-4,804,1.60874605178833,3677,0.06318082788671024,0.0305,0.19907407407407407,0.11,0.31209150326797386,0.194,0.49537037037037035,0.3065,0.0500751126690035,0.15322984476715074,0.23485227841762643
domain,42,kRt-b2d2,804,2.5862011909484863,3677,0.06917211328976035,0.0315,0.19934640522875818,0.105,0.3221677559912854,0.1745,0.5027233115468409,0.307,0.06009013520280421,0.15823735603405106,0.2543815723585378
domain,43,Mean,201,0.0542750358581543,3677,0.06971677559912855,0.024,0.1900871459694989,0.0885,0.30501089324618735,0.1425,0.47739651416122003,0.2645,0.05107661492238358,0.13820731096644967,0.2258387581372058
domain,43,HMRC-3,603,1.4454247951507568,3677,0.05555555555555555,0.0275,0.1900871459694989,0.1085,0.3099128540305011,0.178,0.49537037037037035,0.287,0.045067601402103155,0.1442163244867301,0.23935903855783675
domain,43,HMRC-4,804,2.051854133605957,3677,0.06481481481481481,0.0325,0.19498910675381265,0.1155,0.32461873638344224,0.183,0.5024509803921569,0.307,0.053079619429143715,0.157235853780671,0.256885327991988
domain,43,kRt-b2d2,804,2.8715150356292725,3677,0.061546840958605666,0.033,0.1977124183006536,0.1105,0.3137254901960784,0.1905,0.5049019607843137,0.311,0.05257886830245368,0.15523284927391087,0.23084626940410616
domain,44,Mean,201,0.05041193962097168,3677,0.06781045751633986,0.02,0.19961873638344227,0.075,0.3183551198257081,0.131,0.494281045751634,0.2425,0.04659318637274549,0.14579158316633267,0.2309619238476954
domain,44,HMRC-3,603,1.421288013458252,3677,0.06535947712418301,0.03,0.2028867102396514,0.105,0.31781045751633985,0.189,0.5065359477124183,0.3095,0.05107661492238358,0.16124186279419128,0.2498748122183275
domain,44,HMRC-4,804,1.5721440315246582,3677,0.061546840958605666,0.0335,0.2053376906318083,0.1085,0.3346949891067538,0.1945,0.5182461873638344,0.3215,0.05458187280921382,0.16624937406109164,0.25237856785177765
domain,44,kRt-b2d2,804,2.6142139434814453,3677,0.06971677559912855,0.0285,0.210239651416122,0.1105,0.3311546840958606,0.1865,0.5239651416122004,0.3085,0.05302651325662831,0.15807903951975988,0.24262131065532766
